dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg,capture_start,capture_end,sentinel_time,Blue,Green,Red,RE1,RE2,RE3,NIR,SWIR1,SWIR2,NDVI,MNDWI,NBR,EVI,NDRE1,NDRE2,NDRE3,CIrededge,CLOUD_COVERAGE,cloud_threshold_used
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,9.0,8.0,mangle,38.8077576694664,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.1,7.0,germinans,10.737907035706,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.0,7.0,germinans,20.5846745215469,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.4,3.0,germinans,8.01443773648832,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,12.4,3.0,germinans,47.1443950232923,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,11.7,10.0,germinans,51.259469103962,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,7.3,6.0,germinans,16.5235325370851,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,9.5,6.0,germinans,31.0931475931565,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.9,6.0,germinans,26.5866765253533,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.2,4.0,germinans,8.93219256936432,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
